"image_id","用途","主要角色","参考图","画面描述","正向提示词要点","负向提示词要点","输出建议"
"scene_001_a_first","开场空镜","无","E:/luokewangguo/AI漫剧/002/04_图片/闪耀大赛赛场参考图.jpg","针毡毛绒闪耀大赛赛场空镜，洛克王国 PVP 比赛场景，夜晚学院城堡庭院，中央圆形对战擂台，金色圆环地面，蓝灰色石板广场，对称拱廊和台阶，石柱路灯，红色城堡建筑，蓝色尖顶屋顶，蓝色旗帜，比赛灯光，三支队伍即将登场，保留足够空间","16:9；针毡毛绒定格动画风格；闪耀大赛赛场；洛克王国 PVP 氛围；轻微战斗氛围；优先参考用户实机截图的场景构图；不要过满","不要文字字幕水印logo；不要真实游戏UI；不要角色列表；不要任务文字；不要小地图；不要可读比分牌；不要新增精灵角色","first_frames_v2/scene_001_a_first.png"
"scene_001_b_first","雪天队正面登场","雪影娃娃/雪巨人/月牙雪熊","E:/luokewangguo/AI漫剧/002/04_图片/character_finals/144_雪影娃娃_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/136_雪巨人_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/322_月牙雪熊_front_felt_final.png","雪影娃娃、雪巨人、月牙雪熊三只精灵正面站在闪耀大赛赛场中央圆形擂台前方，雪影娃娃在中间靠前发言，雪巨人和月牙雪熊分站两侧，三只面对镜头和对手放话，冰蓝雪花铺开","16:9；正面三角构图；雪天队三精灵同框；雪影娃娃为发言代表；统一使用角色定稿图；针毡毛绒质感统一；冰雪氛围清楚；闪耀大赛赛场背景","不要文字字幕；不要可读UI；不要漏掉队员；不要写实冰雕；不要把雪巨人画成人类；不要把雪影娃娃画成蓝发人偶；不要把月牙雪熊画成普通熊","first_frames_v2/scene_001_b_first.png"
"scene_001_c_first","沙暴队正面登场","布克棱岩/棋契陛下/针叶巡林","E:/luokewangguo/AI漫剧/002/04_图片/character_finals/029_布克棱岩_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/192_棋契陛下_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/155_针叶巡林_front_felt_final.png","布克棱岩、棋契陛下、针叶巡林三只精灵正面站在闪耀大赛赛场中央圆形擂台前方，布克棱岩在中间靠前发言，棋契陛下和针叶巡林分站两侧，三只面对镜头和对手放话，沙暴、地刺、棋盘格和战术路线沿比赛地面铺开","16:9；正面三角构图；沙暴队三精灵同框；布克棱岩为发言代表；统一使用角色定稿图；毛绒地刺、棋子和沙尘；布局感强；闪耀大赛赛场背景","不要文字字幕；不要可读UI；不要真实棋盘贴图；不要漏掉针叶巡林；不要过度写实沙暴；布克棱岩不要露出人形腿；布克棱岩必须两只眼清楚；不要把棋契陛下换成其他棋类精灵","first_frames_v2/scene_001_c_first.png"
"scene_001_d_first","虫队登场","女王蜂/花衣蝶/铠甲虫","E:/luokewangguo/AI漫剧/002/04_图片/character_finals/084_女王蜂_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/101_花衣蝶_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/284_铠甲虫_front_felt_final.png","女王蜂、花衣蝶、铠甲虫三只精灵登场，三只精灵一起喊话，虫群绕场形成包围网","16:9；虫队三精灵同框；统一使用角色定稿图；三只一起喊话；花衣蝶提供飞行动势；铠甲虫提供硬度反差","不要恐怖虫群；不要密集恶心画面；不要文字字幕；不要漏掉花衣蝶和铠甲虫","first_frames_v2/scene_001_d_first.png"
"scene_002_a_first","三队混战","雪天队/沙暴队/虫队","E:/luokewangguo/AI漫剧/002/04_图片/character_finals/144_雪影娃娃_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/136_雪巨人_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/322_月牙雪熊_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/029_布克棱岩_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/192_棋契陛下_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/155_针叶巡林_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/084_女王蜂_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/101_花衣蝶_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/284_铠甲虫_front_felt_final.png","三队九只精灵在闪耀大赛赛场中央卡通式互殴，雪花、地刺、沙尘、虫群乱飞，远处战鼓声传来，混战突然停住，三队代表警觉看向赛场入口方向","16:9；九只精灵同场但构图清楚；卡通式混战；统一使用角色定稿图；雪花、地刺、沙尘、虫群效果清楚；闪耀大赛赛场背景；巨鼓象还未完全出现","不要文字字幕；不要可读UI；不要血腥受伤；不要画面过乱；不要把九只精灵挤成一团；不要提前让巨鼓象压过来","first_frames_v2/scene_002_a_first.png"
"scene_002_b_first","巨鼓象倒立鼓轮登场","巨鼓象","E:/luokewangguo/AI漫剧/002/04_图片/character_finals/372_巨鼓象_front_felt_final.png","巨鼓象以夸张倒立鼓轮形态从赛场入口滚进来，表情慌而不凶，像想停但停不下来；保留象鼻、圆鼓身体和鼓形机械结构；鼓面竖直立起，头和象鼻朝下，两条长腿向下撑开，头和象鼻倒挂在鼓面下方，两侧金色螺旋部件展开，以游戏内滚动姿态快速滚动","16:9；主角定稿图；倒立鼓轮只是夸张滚动姿态；针毡毛绒定格动画风格；动作方向明确；可以有轻微说话表情；首帧状态；强调游戏倒立鼓轮姿态中间态","不要汽车化；不要变成普通轮胎或车辆；不要把鼓面画成贴地车轮；不要人形化；不要新增角色；不要文字；不要人类观众或玩家角色；不要少腿或腿藏没","first_frames_v2/scene_002_b_first.png"
"scene_003_a_first","雪天队首帧","巨鼓象/雪天队","E:/luokewangguo/AI漫剧/002/04_图片/character_finals/372_巨鼓象_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/144_雪影娃娃_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/136_雪巨人_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/322_月牙雪熊_front_felt_final.png","巨鼓象以倒立鼓轮姿态即将从雪天队三只精灵身上滚过，鼓面竖直立起，头和象鼻朝下，像游戏内倒立鼓轮滚动；雪地和雪花仍然蓬松，雪影娃娃、雪巨人、月牙雪熊同时露出呆住表情","16:9；首帧；雪天队三精灵在画面里；巨鼓象移动轨迹清楚；喜剧预备动作；统一使用角色定稿图","不要暴力伤害；不要血腥；不要角色破碎；不要文字字幕；不要把巨鼓象画成轮胎或贴地车轮","first_frames_v2/scene_003_a_first.png"
"scene_003_b_first","沙暴队首帧","巨鼓象/沙暴队","E:/luokewangguo/AI漫剧/002/04_图片/character_finals/372_巨鼓象_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/029_布克棱岩_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/192_棋契陛下_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/155_针叶巡林_front_felt_final.png","巨鼓象以倒立鼓轮姿态即将从沙暴队三只精灵身上滚过，鼓面竖直立起，头和象鼻朝下，像游戏内倒立鼓轮滚动；沙暴地刺、棋盘、沙线和棋子仍然复杂排列，布克棱岩、棋契陛下、针叶巡林同时露出呆住表情","16:9；首帧；沙暴队三精灵在画面里；地刺和棋盘布局复杂；巨鼓象移动轨迹清楚；统一使用角色定稿图","不要文字字幕；不要真实棋盘贴图；不要漏掉布克棱岩或针叶巡林；不要角色破碎；布克棱岩不要露出人形腿；不要把巨鼓象画成轮胎或贴地车轮","first_frames_v2/scene_003_b_first.png"
"scene_003_c_first","虫队首帧","巨鼓象/虫队","E:/luokewangguo/AI漫剧/002/04_图片/character_finals/372_巨鼓象_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/084_女王蜂_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/101_花衣蝶_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/284_铠甲虫_front_felt_final.png","巨鼓象以倒立鼓轮姿态即将从虫队三只精灵身上滚过，鼓面竖直立起，头和象鼻朝下，像游戏内倒立鼓轮滚动；女王蜂、花衣蝶、铠甲虫和虫群包围网完整围住场地，三只精灵同时露出呆住表情","16:9；首帧；虫队三精灵同框；包围网清楚；巨鼓象移动轨迹清楚；统一使用角色定稿图","不要恐怖虫群；不要密集恶心画面；不要文字字幕；不要漏掉铠甲虫；不要角色破碎；不要把巨鼓象画成轮胎或贴地车轮","first_frames_v2/scene_003_c_first.png"
"scene_004_a_first","巨鼓象恢复四脚朝地本体","巨鼓象/三队全员","E:/luokewangguo/AI漫剧/002/04_图片/character_finals/372_巨鼓象_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/144_雪影娃娃_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/136_雪巨人_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/322_月牙雪熊_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/029_布克棱岩_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/192_棋契陛下_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/155_针叶巡林_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/084_女王蜂_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/101_花衣蝶_front_felt_final.png;E:/luokewangguo/AI漫剧/002/04_图片/character_finals/284_铠甲虫_front_felt_final.png","巨鼓象停下，从倒立鼓轮姿态松开，恢复游戏里的四脚朝地本体站姿，九只精灵都安全地变成扁扁毛绒薄片贴在场地上，背景有冰面、斑马线沙路、虫群风阻线","16:9；结尾反差；巨鼓象无辜；九只扁平毛绒薄片都可辨认；场地痕迹清楚；统一使用角色定稿图","不要新增角色；不要文字字幕；不要夸张痛苦；不要血腥；不要表现成主动攻击","first_frames_v2/scene_004_a_first.png"

